(주)탑스코,자동차용 금속 압형제품 제조업,19년차,중소기업,48명,,
(주)에니트,시스템 소프트웨어 개발 및 공급업,4년차,중소기업,23명,42억,123%
(주)리젠시빌주택,아파트 건설업,11년차,대기업,25명,,
(주)에스오에스랩,그 외 기타 전자부품 제조업,6년차,중소기업,,,
(주)터보코리아,산업용 냉장 및 냉동 장비 제조업,13년차,중소기업,165명,,
한국씨엔티(주),시멘트 제조업,46년차,중견기업,208명,1338억,3%
(주)태성이앤씨,일반전기 공사업,9년차,중소기업,29명,,
(주)대호산업,타이어 재생업,29년차,,81명,,
(주)스터디파이,시스템 소프트웨어 개발 및 공급업,4년차,,,6억,395%
(주)엔공구,전자상거래 소매 중개업,5년차,중소기업,30명,92억,89%
평화전자(주),운송장비 조립용 플라스틱제품 제조업,28년차,,80명,,
(주)유진테크노,공기 조화장치 제조업,19년차,중소기업,24명,242억,17%
(주)한국기업진흥원,음악 및 기타 오디오물 출판업,,중소기업,,,
기린정밀진곡공장(주),산업용 냉장 및 냉동 장비 제조업,6년차,중소기업,33명,,
(주)달마전자,비메모리용 및 기타 전자집적회로 제조업,18년차,중소기업,109명,95억,29%
(주)대명엘리베이터,기타 물품 취급장비 제조업,28년차,중소기업,74명,136억,99%
(주)에코전력,일반전기 공사업,8년차,중소기업,30명,,
(주)스튜디오질풍,애니메이션 영화 및 비디오물 제작업,4년차,중소기업,10명,10억,250%
제이에스이엔씨(주),일반전기 공사업,,중소기업,5명,15억,298%
(주)나전,자동차 차체용 신품 부품 제조업,36년차,,89명,891억,7%
(주)동양저축은행,상호저축은행 및 기타 저축기관,,,34명,193억,5%
(주)아이엠알,응용 소프트웨어 개발 및 공급업,12년차,중소기업,16명,26억,74%
(주)동방엔지니어링,주형 및 금형 제조업,4년차,중소기업,23명,,
(주)에이투,"도배, 실내장식 및 내장 목공사업",19년차,중소기업,12명,95억,65%
(주)해양에너지,연료용 가스 제조 및 배관공급업,,"대기업,1000대기업",227명,,
지오씨(주),광섬유 케이블 제조업,21년차,중소기업,159명,,
씨에스캠(주),금속 절삭기계 제조업,22년차,중소기업,47명,,
(주)탑스텍,그 외 기타 전자부품 제조업,5년차,중소기업,44명,255억,22%
(주)동희하이테크,그 외 자동차용 신품 부품 제조업,18년차,중견기업,90명,,
아이오솔루션(주),광학렌즈 및 광학요소 제조업,13년차,중소기업,83명,113억,44%
(주)삼광실업,차체 및 특장차 제조업,32년차,중소기업,63명,,
(주)케이넷,응용 소프트웨어 개발 및 공급업,20년차,중소기업,20명,24억,3%
(주)지엔아이씨티,응용 소프트웨어 개발 및 공급업,7년차,중소기업,9명,16억,9%
서광병원,일반 병원,,중소기업,198명,232억,3%
(주)아이지스,기타 가공 공작기계 제조업,16년차,중소기업,64명,,
휴먼전자(주),그 외 기타 전자부품 제조업,32년차,중소기업,50명,,
기광산업(주),자동차 차체용 신품 부품 제조업,33년차,중소기업,110명,492억,9%
(주)무진기연,금속 절삭기계 제조업,23년차,중소기업,53명,216억,4%
타이아(주),배전반 및 전기 자동제어반 제조업,14년차,중소기업,30명,,
보광종합건설(주),주거용 건물 건설업,10년차,중소기업,156명,2814억,22%
(주)신성테크,그 외 자동차용 신품 부품 제조업,19년차,중소기업,35명,,
(주)지오산업개발,주거용 건물 개발 및 공급업,13년차,중소기업,19명,829억,65%
(주)와이에스피,그 외 자동차용 신품 부품 제조업,14년차,중소기업,400명,593억,97%
케이비트(주),전기용 기계ㆍ장비 및 관련 기자재 도매업,14년차,중소기업,20명,,
(주)코아띠,화장품 및 화장용품 도매업,10년차,중소기업,19명,,
(주)스튜디오쉘터,방송 프로그램 제작업,7년차,중소기업,12명,6억,25%
(주)나경물류,그 외 기타 분류 안된 사업지원 서비스업,4년차,중소기업,정명균,,
