19,국내 자생하는 치마버섯 집단에 대한 유전자 및 염료 분해능 다양성 = Genetic diversity and dye-decolorizing spectrum of Schizophyllum commune population in Korea,최용준,학위논문(석사)-- 인천대학교 일반대학원 : 생명과학과 미생물(곰팡이) 2019. 8,2019,"치마버섯 , 계통분류 , Haplotype network , 염료 분해능"
20,농촌 생활체육 참가자의 운동지속의도 결정요인 분석 = Determinants of exercise adherence in rural area,서성훈,학위논문(박사) -- 인천대학교 대학원 체육학과 2012,2012,
21,유아스포츠클럽에서 부모역할지원 멘토링에 대한 내러티브 탐구,최윤성,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 2010. 8,2010,
22,對中國 直接投資에 관한 硏究,김순중,학위논문(석사)-- 仁川大學校 敎育大學院 1996,1996,"대중국 , 직접투자 , 인천대학교"
23,K-리그의 승강제 도입 전후 득점 유형 비교 분석,장우성,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 운동역학 2017. 2,2017,
24,팀 활동 체육수업에 의한 정서발달이 중학생들의 체육수업 선호도에 미치는 영향,양정환,학위논문(석사)-- 인천대학교 교육대학원 : 체육교육전공 2013. 2,2013,
25,유아 영어 어휘 습득을 위한 오감 활용 체험 수업 연구 = A Study of Experience Class Using Five Senses on English Vocabulary Learning for Infants,신애숙,학위논문(석사)-- 인천대학교 교육대학원 : 영어교육전공 2013. 8,2013,
26,Light in August에 나타나는 질서의식,박미경,"석사학위논문:-- 仁川大學校 敎育大學院 , 1996",1996,"LIGHT , AUGUST에 , 질서의식 , 인천대학교"
27,단속판을 이용한 수직벽 응축 촉진에 관한 연구,구본형,석사학위논문-- 仁川大學校 敎育大學院 1996,1996,"단속판 , 수직벽 , 응축 , 촉진 , 인천대학교"
28,스토리텔링을 활용한 신체표현활동이 유아의 놀이성에 미치는 영향,박윤정,학위논문(석사)-- 인천대학교 교육대학원 : 유아교육전공 2014. 2,2014,
29,고객서비스 개선을 통한 고객만족경영 실천연구 : 인천교통공사 도시철도 사업분야,천기수,학위논문(석사)-- 인천대학교 경영대학원 : 경영학전공 2016. 2,2016,"인천교통공사 , 고객서비스 운영사례 , 고객서비스 개선방안 , 고객만족경영 , 공기업"
