(주)제때,기타 육상 운송지원 서비스업,33년차,중견기업,222명,2261억,3%
강산건설(주),토목시설물 건설업,40년차,중견기업,277명,1952억,6%
(주)서해종합건설,주거용 건물 건설업,38년차,중견기업,161명,,
(주)이랜드월드,"근무복, 작업복 및 유사의복 제조업",40년차,"대기업,1000대기업","1,583명",,
(주)교보문고,"서적, 신문 및 잡지류 소매업",42년차,대기업,"1,085명",6941억,14%
라인게임즈(주),유선 온라인 게임 소프트웨어 개발 및 공급업,10년차,대기업,307명,644억,211%
(주)삼구에프에스,임시 및 일용 인력 공급업,19년차,중견기업,"4,135명",,
(주)리치몬트코리아,시계 및 귀금속제품 도매업,25년차,"대기업,1000대기업","1,083명",1조,19%
(주)지에스아이티엠,응용 소프트웨어 개발 및 공급업,16년차,대기업,765명,2002억,16%
(주)제니엘,상용 인력 공급 및 인사관리 서비스업,26년차,중견기업,"6,344명",2325억,7%
롯데그룹,"대기업,1000대기업",55년차,"대기업,1000대기업",,,
네파(주),"근무복, 작업복 및 유사의복 제조업",10년차,중견기업,159명,,
(주)에스티유니타스,기타 교육지원 서비스업,12년차,중견기업,912명,2916억,8%
(주)알라딘커뮤니케이션,전자상거래 소매업,24년차,중견기업,980명,4294억,20%
(주)그린카,자동차 임대업,13년차,"대기업,1000대기업",118명,448억,40%
대상에프앤비(주),기타 과실ㆍ채소 가공 및 저장 처리업,26년차,중견기업,96명,686억,111%
(주)위메프,전자상거래 소매 중개업,,"중견기업,1000대기업",,,
동원로엑스(주),일반 화물자동차 운송업,11년차,대기업,"1,754명",9389억,58%
케이투코리아(주),기타 신발 제조업,26년차,중견기업,323명,3522억,2%
(주)리치앤코,보험 대리 및 중개업,16년차,대기업,514명,3311억,28%
오티스엘리베이터(유),기타 물품 취급장비 제조업,23년차,중견기업,"1,602명",,
한국미쓰비시엘리베이터(주),승강기 제조업,21년차,중견기업,729명,2644억,9%
한국화이자제약(주),의약품 도매업,63년차,"대기업,1000대기업",411명,3918억,12%
안진회계법인,공인회계사업,,중견기업,"2,808명",3453억,6%
(주)정림건축종합건축사사무소,건축설계 및 관련 서비스업,,중견기업,819명,1151억,8%
(주)발렉스서비스,사업시설 유지ㆍ관리 서비스업,12년차,중견기업,"4,000명",2253억,15%
프라다코리아(유),의복 액세서리 및 모조 장신구 소매업,27년차,중견기업,606명,2714억,5%
한성자동차(주),자동차 신품 판매업,16년차,대기업,"1,914명",,
(주)아스타아이비에스,사업시설 유지ㆍ관리 서비스업,27년차,중견기업,"2,625명",,
하이엠솔루텍(주),기타 일반 기계 및 장비 수리업,16년차,대기업,"1,482명",1862억,7%
(주)엘지에너지솔루션,축전지 제조업,,대기업,"7,443명",,
피에스앤마케팅(주),통신기기 소매업,13년차,대기업,"2,097명",1조,6%
동국시스템즈(주),시스템 소프트웨어 개발 및 공급업,25년차,대기업,308명,,
(주)해안종합건축사사무소,건축설계 및 관련 서비스업,28년차,중견기업,976명,1530억,23%
한솔섬유(주),편조의복 제조업,30년차,"1000대기업,중견기업",574명,,
(주)인동에프엔,여자용 겉옷 제조업,26년차,중견기업,327명,,
(주)이마트24,체인화 편의점,16년차,대기업,"1,249명",1조,20%
젤리피쉬엔터테인먼트(주),음악 및 기타 오디오물 출판업,15년차,대기업,49명,,
웰컴저축은행(주),상호저축은행 및 기타 저축기관,9년차,중견기업,776명,3957억,8%
(주)초록마을,과실류 도매업,23년차,중견기업,165명,1927억,18%
동아제약(주),완제 의약품 제조업,9년차,"1000대기업,중견기업",912명,4148억,4%
롯데지에프알(주),여자용 겉옷 제조업,19년차,대기업,113명,,
(주)신성씨앤티,플라스틱 접착처리 제품 제조업,22년차,중견기업,126명,,
유한킴벌리(주),위생용 종이제품 제조업,52년차,"대기업,1000대기업","1,519명",1조,12%
(주)텐바이텐,"문구용품, 회화용품, 사무용품 도매업",21년차,대기업,219명,382억,9%
메트라이프생명보험(주),생명 보험업,,"대기업,1000대기업",608명,2조,7%
(주)풀무원푸드앤컬처,기관 구내식당업,27년차,중견기업,"2,237명",,
(주)일룸,생활용 가구 도매업,15년차,중견기업,180명,3123억,30%
패션그룹형지(주),여자용 겉옷 제조업,24년차,"중견기업,1000대기업",209명,,
(주)혜인식품,육류 가공식품 도매업,16년차,중견기업,49명,551억,6%
(주)와이비엠,교과서 및 학습서적 출판업,40년차,중견기업,353명,,
(주)한국존슨앤드존슨,화장품 제조업,,"대기업,1000대기업",247명,,
유니코로지스틱스(주),"화물운송 중개, 대리 및 관련 서비스업",20년차,중견기업,119명,,
(주)티빙,"영화, 비디오물 및 방송프로그램 배급업",2년차,대기업,81명,,
(주)삼영기업,내부 전기배선 공사업,28년차,중견기업,284명,1885억,27%
자라리테일코리아(주),남녀용 겉옷 및 셔츠 도매업,15년차,"중견기업,1000대기업","1,461명",4155억,13%
장금상선(주),외항 화물 운송업,23년차,"중견기업,1000대기업",376명,1조,4%
(주)윕스,데이터베이스 및 온라인정보 제공업,,중견기업,445명,343억,2%
(주)유베이스,콜센터 및 텔레마케팅 서비스업,24년차,중견기업,"10,641명",3941억,3%
한국환경산업기술원,환경 행정,13년차,중견기업,600명,3888억,16%
(주)약진통상,편조의복 제조업,,"대기업,1000대기업",419명,5864억,8%
현대머티리얼(주),1차 금속제품 도매업,12년차,대기업,71명,2179억,8%
에어리퀴드코리아(주),산업용 가스 제조업,26년차,"대기업,1000대기업",146명,,
엠즈씨드(주),커피 전문점,9년차,중견기업,"1,070명",,
한국아스트라제네카(주),의약품 도매업,30년차,"대기업,1000대기업",393명,4980억,13%
(주)디어유,응용 소프트웨어 개발 및 공급업,5년차,중견기업,42명,130억,207%
캐롯손해보험(주),손해 보험업,3년차,대기업,186명,395억,5363%
한국미쓰비시전기오토메이션(주),그 외 기타 기계 및 장비 도매업,26년차,"대기업,1000대기업",237명,3500억,2%
미래에셋금융서비스(주),보험 대리 및 중개업,8년차,대기업,15명,194억,15%
동광제약(주),완제 의약품 제조업,8년차,중견기업,430명,1434억,3%
(주)이브자리,침구 및 관련제품 제조업,41년차,중견기업,52명,616억,1%
(주)농협정보시스템,응용 소프트웨어 개발 및 공급업,16년차,대기업,551명,2543억,12%
(주)동일기술공사,건물 및 토목 엔지니어링 서비스업,57년차,중견기업,590명,835억,11%
한국암웨이(주),기타 가공식품 도매업,34년차,중견기업,343명,,
우리와(주),사료 도매업,12년차,중견기업,212명,1048억,13%
(주)우림에프엠지,시계 및 귀금속제품 도매업,8년차,중견기업,698명,,
(주)브이엔티지,응용 소프트웨어 개발 및 공급업,2년차,중견기업,217명,,
(주)메조미디어,광고 대행업,23년차,대기업,299명,620억,9%
이지스엔터프라이즈(주),그 외 기타 금융 지원 서비스업,22년차,중견기업,50명,305억,12%
(주)현대종합설계건축사사무소,건축설계 및 관련 서비스업,21년차,대기업,363명,,
캐논쎄미콘덕터엔지니어링코리아(주),기타 엔지니어링 서비스업,,중견기업,471명,1247억,42%
이베이코리아유한책임회사,전자상거래 소매 중개업,22년차,"대기업,1000대기업",972명,9811억,3%
(주)천재교과서,교과서 및 학습서적 출판업,18년차,중견기업,630명,1763억,23%
한국야금(주),톱 및 호환성 공구 제조업,56년차,"중견기업,1000대기업",677명,,
(주)그라비티,유선 온라인 게임 소프트웨어 개발 및 공급업,22년차,중견기업,324명,2289억,72%
(주)간삼건축종합건축사사무소,건축설계 및 관련 서비스업,,중견기업,570명,807억,15%
(주)까사미아,생활용 가구 도매업,30년차,대기업,422명,1633억,38%
(주)신한디에스,시스템 소프트웨어 개발 및 공급업,31년차,중견기업,939명,1603억,17%
(주)에이치에스애드,광고 대행업,18년차,대기업,568명,,
(주)지오다노,셔츠 및 블라우스 제조업,28년차,중견기업,344명,,
애경화학(주),합성수지 및 기타 플라스틱 물질 제조업,43년차,"대기업,1000대기업",254명,,
바이엘코리아(주),의약품 도매업,33년차,"대기업,1000대기업",399명,3326억,1%
이케이맨파워(주),임시 및 일용 인력 공급업,32년차,중견기업,"1,445명",,
에이블현대호텔앤리조트(주),호텔업,,대기업,264명,,
양우건설(주),토목시설물 건설업,,중견기업,288명,4142억,7%
(주)엠티콜렉션,가죽 및 모피제품 도매업,25년차,중견기업,381명,,
(주)불스원,표면광택제 및 실내가향제 제조업,21년차,중견기업,,,
(주)필립스코리아,의료기기 도매업,46년차,"대기업,1000대기업",355명,,
(주)에프앤코,화장품 제조업,22년차,중견기업,71명,,
한서실업(주),자동차용 신품 의자 제조업,48년차,중견기업,177명,,
(주)에스쁘아,화장품 및 화장용품 도매업,7년차,대기업,62명,,
나이스페이먼츠(주),컴퓨터 프로그래밍 서비스업,6년차,중견기업,122명,3056억,31%
라인프렌즈(주),"게임용구, 인형 및 장난감 소매업",7년차,"대기업,1000대기업",285명,,
(주)원더플레이스,남녀용 겉옷 및 셔츠 도매업,11년차,중견기업,627명,,
(재)아름다운가게,기타 중고 상품 소매업,14년차,중견기업,홍명희,265억,5%
(주)컴퓨존,"컴퓨터 및 주변장치, 소프트웨어 도매업",,중견기업,532명,1조,16%
(주)피앤에스네트웍스,"화물운송 중개, 대리 및 관련 서비스업",15년차,중견기업,396명,,
(주)비에스케이코퍼레이션,화장품 및 화장용품 도매업,26년차,중견기업,204명,,
(주)대홍기획,광고 대행업,4년차,"대기업,1000대기업",446명,,
십일번가(주),전자상거래 소매 중개업,4년차,"대기업,1000대기업","1,072명",5455억,3%
고려해운(주),외항 화물 운송업,37년차,중견기업,732명,1조,3%
삼일회계법인,공인회계사업,,중견기업,"3,345명",6847억,12%
행복나래(주),사무용 가구 및 기기 도매업,22년차,대기업,246명,,
(주)에이비비코리아,배전반 및 전기 자동제어반 제조업,35년차,"대기업,1000대기업",488명,,
(주)플레이엠엔터테인먼트,매니저업,11년차,대기업,57명,161억,38%
(주)유진홈센터,그 외 기타 건축자재 도매업,12년차,중견기업,129명,385억,107%
아시아나에어포트(주),기타 항공 운송지원 서비스업,34년차,대기업,"1,921명",,
(주)녹십자헬스케어,그 외 기타 분류 안된 사업지원 서비스업,19년차,중견기업,300명,272억,33%
자이에너지운영(주),기타 엔지니어링 서비스업,14년차,대기업,459명,,
(주)이테크시스템,"컴퓨터 및 주변장치, 소프트웨어 도매업",13년차,중견기업,384명,2357억,2%
프라임에셋(주),보험 대리 및 중개업,13년차,중견기업,99명,3036억,14%
(주)농협목우촌,육류 기타 가공 및 저장처리업 (가금류 제외),16년차,"대기업,1000대기업",478명,6351억,9%
에스케이오앤에스(주),사업시설 유지ㆍ관리 서비스업,12년차,대기업,"2,330명",,
(주)케이티엠모바일,통신 재판매업,7년차,대기업,91명,1631억,1%
