(주)아이에이치씨,그 외 자동차용 신품 부품 제조업,20년차,중견기업,60명,,
한진울산신항운영(주),항구 및 기타 해상 터미널 운영업,11년차,대기업,4명,61억,63%
(주)이지메탈,1차 금속제품 도매업,12년차,중견기업,5명,,
울산항만운영(주),수상 화물 취급업,,대기업,18명,,
(주)코마스,기타 해상 운송업,14년차,대기업,,,
동아기연(주),자동차 엔진용 신품 부품 제조업,15년차,중견기업,43명,,
부산울산고속도로(주),도로 및 관련시설 운영업,16년차,중견기업,8명,,
(주)대성이앤아이,일반전기 공사업,9년차,1000대기업,100명,,
대양석유(주),액체연료 및 관련제품 도매업,35년차,중견기업,15명,,
가온미디어,내부 통신배선 공사업,,1000대기업,34명,,
(주)케이디파워텍,기타 발전업,8년차,중견기업,14명,,
효원산업(주),아스팔트 콘크리트 및 혼합제품 제조업,32년차,중견기업,1명,,
(주)디아이씨글로벌,경영 컨설팅업,6년차,중견기업,1명,,
혜성정밀,절삭가공 및 유사처리업,,1000대기업,,36억,21%
(주)이십일세기이엔지,"전기회로 개폐, 보호장치 제조업",8년차,1000대기업,19명,,
경동강남고객서비스(주),연료용 가스 제조 및 배관공급업,15년차,중견기업,10명,28억,37%
울산에스코(주),경영 컨설팅업,14년차,대기업,1명,,
경동강북고객서비스(주),그 외 기타 분류 안된 사업지원 서비스업,15년차,중견기업,52명,26억,13%
경동강동고객서비스(주),그 외 기타 분류 안된 사업지원 서비스업,15년차,중견기업,20명,26억,12%
